"text","created","url","latitude","longitude","retweetCount","hashtag"
"At least one of the democrats understands the importance of the Constitution!!

We are the last beacon of hope in t<e2><80><a6> https://t.co/kgLXJh4ftA",2020-12-01 16:02:44,"https://twitter.com/Millennial_c0n/status/1333803727858270208",NA,NA,1,"#trump2020"
"@Henryhooddavis Lol. You are the best person I've followed in years <f0><9f><98><82>. Hell I'll buy you a happy meal for just spea<e2><80><a6> https://t.co/Bj7CDcVQmM",2020-12-01 16:01:15,"https://twitter.com/dubble_bubble82/status/1333803353831141376",NA,NA,0,"#trump2020"
"@HolicNbaX @MagicsBurner @RealSkipBayless @undisputed Maybe you should come to America, the greatest country in the world!<f0><9f><87><ba><f0><9f><87><b8>#Trump2020",2020-12-01 16:01:10,"https://twitter.com/ObiToppinStan/status/1333803336315781120",NA,NA,0,"#trump2020"
"#Elections2020 #Trump2020 
Obama inherited an economy in shambles from the GOP. Now Biden inherits an even greater<e2><80><a6> https://t.co/lLaOnJ2SEk",2020-12-01 16:00:14,"https://twitter.com/carpe_1/status/1333803101145296897",NA,NA,0,"#trump2020"
"Does your vote count??  #BidenHarris2020 or #Trump2020 comment your vote below. https://t.co/JwO5cktVYT",2020-12-01 16:00:08,"https://twitter.com/ACMEClassics/status/1333803076474466308",NA,NA,1,"#trump2020"
"Democrats Nuke Georgia Voting Machine Server on ""Accident"" https://t.co/3x7yLDrsLl via @YouTube always a good<e2><80><a6> https://t.co/UXlaG3l12n",2020-12-01 15:59:04,"https://twitter.com/seanper43159456/status/1333802808206782469",NA,NA,0,"#trump2020"
"After nearly a third of small busy close in New York and New Jersey you would think Democrats would realize the dam<e2><80><a6> https://t.co/yovi76fpFI",2020-12-01 15:58:53,"https://twitter.com/Mtubergen125/status/1333802758122610696",NA,NA,0,"#trump2020"
"Just had to laugh at the new Biden Comm Team. Why did he pick ALL Women on the team?? Bet I know! #maga2020<e2><80><a6> https://t.co/zJCMCfGQok",2020-12-01 15:57:36,"https://twitter.com/TwFar/status/1333802435819696133",NA,NA,0,"#trump2020"
"#Trump2020

https://t.co/ozrp4HMTlT
hi I am from South Africa <f0><9f><87><bf><f0><9f><87><a6> and we are praying for you and the <f0><9f><87><ba><f0><9f><87><b8> please watch<e2><80><a6> https://t.co/XI1wI3gjs7",2020-12-01 15:56:12,"https://twitter.com/MaraaiBotha/status/1333802084718710789",NA,NA,0,"#trump2020"
"@JennaEllisEsq @LeeChatfield Most of the Americans have shifted their faith from God to money,<c2><a0> only a blood lesson<e2><80><a6> https://t.co/8vZrg4UwP4",2020-12-01 15:55:45,"https://twitter.com/awakening_back6/status/1333801971866771458",NA,NA,0,"#trump2020"
"SEE!!!!!!!!!!!!!!!!!!!!!!!! FRUAD #Trump2020 #StopTheSteaI2020 https://t.co/grRJLoLnL8",2020-12-01 15:53:00,"https://twitter.com/BeauDavis76/status/1333801280335036424",NA,NA,0,"#trump2020"
"@HillaryClinton I feel extra deplorable today.

#VoterFraud 
#Trump2020",2020-12-01 15:52:02,"https://twitter.com/VantersMedia49/status/1333801036964773890",NA,NA,0,"#trump2020"
"@ketalanka @brooklyn3r TRUMP SUPPORTERS ARE LEADERS !!!
BIDEN SUPPORTERS ARE LIGHT CHRISTMAS LIGHTS HALF OF THEM DO<e2><80><a6> https://t.co/QIaEklGoq7",2020-12-01 15:51:56,"https://twitter.com/nightangel61/status/1333801008921600006",NA,NA,0,"#trump2020"
"I truly believe that either no one gives 0% fucks what I have to say or twitter is just mad at me for being a trump<e2><80><a6> https://t.co/D28smOtu1P",2020-12-01 15:51:33,"https://twitter.com/beaugaylor/status/1333800912653979648",NA,NA,0,"#trump2020"
"Thank you!!! #Trump2020 https://t.co/kPg2QQP77r",2020-12-01 15:50:24,"https://twitter.com/GodsPrincessWa1/status/1333800624144564235",NA,NA,0,"#trump2020"
"@RudyGiuliani Most of the Americans have shifted their faith from God to money,<c2><a0> only a blood lesson can help them<e2><80><a6> https://t.co/ccVo0n87E1",2020-12-01 15:49:10,"https://twitter.com/awakening_back6/status/1333800315217342471",NA,NA,0,"#trump2020"
"LIVE: Michigan State Senate Committee on Oversight Holds Hearing on Election Issues #Elections #trump2020 #michigan<e2><80><a6> https://t.co/YEbXI4ruEV",2020-12-01 15:48:37,"https://twitter.com/SpeedsterDy/status/1333800175194685441",NA,NA,0,"#trump2020"
"I love the #Trump2020 flag in the window of the #MichiganHearing",2020-12-01 15:48:31,"https://twitter.com/BarrettBrief/status/1333800150523789312",NA,NA,0,"#trump2020"
"https://t.co/ZKhuErYCTN
Live from @PTNewsnetwork Michigan hears testimony on absentee ballots.
#WakeUpAmerica #MAGA<e2><80><a6> https://t.co/rDOVynFgSZ",2020-12-01 15:47:55,"https://twitter.com/YayaEthel/status/1333799999138721792",NA,NA,1,"#trump2020"
"Make it #viral guys, this is the #fraud we<e2><80><99>re dealing with! #StopTheGreatReset #StopTheSteaI2020 #MAGA #Trump2020<e2><80><a6> https://t.co/EebCl9NMgs",2020-12-01 15:47:17,"https://twitter.com/Itooktheredpil5/status/1333799840384335879",NA,NA,1,"#trump2020"
"The Election was riddled with Fraud and is totally illegitimate.

#StopTheSteal #Trump2020 #MAGA #MAGA2020 https://t.co/IHYXggFOQI",2020-12-01 15:46:14,"https://twitter.com/Infinite_Ennui/status/1333799577527336960",NA,NA,0,"#trump2020"
"#sold on my #teepublic shop. #antibiden #Trump2020 #facemask #wearamask https://t.co/O5ganwMt1C",2020-12-01 15:45:07,"https://twitter.com/AbbyCreates_art/status/1333799296710234113",NA,NA,0,"#trump2020"
"@KamalaHarris @JoeBiden No he won<e2><80><99>t. We<e2><80><99>re uncovering the voter fraud by the minute. Is that why you haven<e2><80><99>t abdica<e2><80><a6> https://t.co/hnQaJNJbA3",2020-12-01 15:44:44,"https://twitter.com/AmericanDad757/status/1333799200367132673",NA,NA,0,"#trump2020"
"LIVE Hearing on Michigan voting ""ISSUES""
#StopTheSteal
#Trump2020
https://t.co/UcPvyhXNKJ",2020-12-01 15:43:12,"https://twitter.com/DCdecals1/status/1333798814092722176",NA,NA,0,"#trump2020"
"80 million votes Biden son-of-a-bitch NOBODY<e2><80><99>S that lucky.....
#Biden2020 
#Trump2020 https://t.co/ASqWZAZcfA",2020-12-01 15:42:20,"https://twitter.com/rouzer77/status/1333798595699515397",NA,NA,0,"#trump2020"
"son that they have the same peace at me. Also, #Trump2020",2020-12-01 15:41:46,"https://twitter.com/PDerkevics/status/1333798451331567618",NA,NA,0,"#trump2020"
"@bIossomboi @Mrcarreto @TwitterMoments @JoeBiden Not for long. Just wait. #Trump2020",2020-12-01 15:41:19,"https://twitter.com/GarretDaniel24/status/1333798338399932427",NA,NA,0,"#trump2020"
"Just thinking of how Americans will felt if Trump won through the court
#DonaldTrump keep moving #Trump2020",2020-12-01 15:40:35,"https://twitter.com/shardonjs/status/1333798154337091588",NA,NA,0,"#trump2020"
"@jaysxos NOO WE WILL NEVR CONCEDE THE ELECTION WAS RIGGED AND ITS OBVIOUS YOU LIBERALS DONT WANT TO ADMIT IT #Trump2020",2020-12-01 15:39:40,"https://twitter.com/BeauDavis76/status/1333797922304008193",NA,NA,0,"#trump2020"
"A beautiful pardon...
#peopletician #nicholsforidaho #PardonOfInnocence #Trump2020 https://t.co/8l2scib9W7",2020-12-01 15:36:59,"https://twitter.com/nicholsforidaho/status/1333797247604015105",NA,NA,0,"#trump2020"
"James O'Keefe bowling into CNN's Editorial Conference Call like...

<f0><9f><98><82><f0><9f><98><82><f0><9f><98><82>

#ExposeCNN #CNN #JeffZucker #FakeNews<e2><80><a6> https://t.co/UDsQN0OO95",2020-12-01 15:36:40,"https://twitter.com/Infinite_Ennui/status/1333797169686450178",NA,NA,0,"#trump2020"
"...#BREAKING..big Tech companies destroyed ""Free n Fair"" Legitimate  #Election2020
@realDonaldTrump #Trump2020<e2><80><a6> https://t.co/NamYMSrnYX",2020-12-01 15:34:46,"https://twitter.com/realAnilReddy/status/1333796692915720194",NA,NA,0,"#trump2020"
